question,answer
How old is she?,She is 14 years old
What does she look like?,She is long and legs tail
What is she wearing?,"She is pink t-shirt , whit shorts and whit trainers"
What does she like?,"She like read , pizza and maht."
What is her name?,shes is Andrea.
How old is she?,she's 14 years old .
Does she like apples?,she doesn't like apples .
What is her gender?,Sh'es a girl.
What can she do?,she can ride a bike.
What is her body type?,she slim.
What is her name?,she is andrea
How old is she?,she have 14 years old
What is she doing?,she is cycling next to the river with her dog.
What does she like to do in her free time?,she like reading .
What is her favourite food?,her favourite food is pizza
What food does she dislike?,"she dosnt like the fruit , like the apples , she hates apples."
How does she feel about apples?,she hates apples
What does she enjoy doing?,she like cycling and do sport
What does she dislike?,he dosnt like finishing ...
Does she enjoy singing?,she dosnt like singing
Why doesn't she like to sing?,she is really bad .
Who is this?,this is andrea
How old is she?,she has 14 yers old
What does she like?,she like read and eating pizza
What are some things she can't do?,she cant sing and sishing
What food does she dislike?,she doesnt like apple
Who is this?,this is Andrea
How old is she?,is 14 years old
What color is her hair?,she is blonde
What can you say about her appearance?,she is blaca and tall
What does she like?,she likes to read eat pizza and study
What does she not like?,she does not like to sing eat apple and fish
How old is she?,She is 14 years old
What is she doing?,riding a bicycle
What does the text say about her clothes?,"She is wearing a violet shirt"
What is she wearing in addition to the shirt?,white shorts
What is she wearing on her feet?,a pair of white shawls
What does she like to do?,"I like ride a bike ,reading,eat the pizza"
What does she not like to do?,"I didn't sing,apple,fishing"
Can you describe her?,"she is 14 years old ,tail and t-shirt pink and short white and bike red"
What does she look like?,She is tall and thin.
What color is her hair?,Her hair is blonde.
What is she wearing?,She is wear a pink t-shirt and a withe short.
What is she carrying?,She has got a litle dog.
What does she like?,"She like read, draw and eat pizza."
What doesn't she like?,"She don't like sing, fish and apples."
Who is this?,This is andrea
How old is she?,she have 14 years old.
What is Andrea doing?,andrea riding a bicke
What does she like?,like read and pizza
What doesn't she like?,don't like fish and sing.
What is her name?,her nema is Andrea
How would you describe her?,she is tall
What are some things she likes?,she likes pizza and reading.
What is a subject she likes?,she likes geometry
What is her name?,Andrea.
How old is she?,14 years old
What is she wearing?,"she wearing t-shirt pink at white shoes, white shorts ."
What is something she dislikes?,"'dont apple, sing fishinng"
What does she like to do?,"like rite,pizza ruller"
What is her name?,she is andrea
How old is she?,she is 14 years old
What does she love to do in her free time?,i her free time she love ride a bike
What are some things she doesn't like?,"she don´t like singing , apple and fishing"
What does she like?,"she liike reeed ,eat piza and geometry."
Who is this?,This is Andrea.
What does she look like?,She is tal and thin.
What does she like?,She likes pizza and ruid.
What is she carrying?,Is a dog.
What doesn't she like?,She dosen´t likes apple and fish.
What does she do in the morning?,She get up at 7:00 and make is the bed.
What does she do in the morning?,She breakfast cereals and milk and go to de ride.
Where is Andrea going?,Andrea go to home.
What does she do at night?,At nai is go to bed.
What has she got?,She has got a bike and a dog.
What is she wearing?,"She is wearing t-shirt, shorts and trainers."
What can she do and what can't she do?,She can reading but she can´t sing.
What food does she like and what does she not like?,She like eating pizza but she don´t like apples.
What is her name?,she is Andrea.
How old is she?,She is 14 years old.
What does she look like?,"She is tall,she has blond hair and she looks kind."
What is she wearing?,"She is wearing a pink t-shirt, a grey short and white shoes and black sun glasses."
What are her food preferences?,"She likes pizza,hamburgers and potatoes,but she doesent likes apple,letuce and chocolate."
What does she have?,"She has a dog,a bike but she hasn't a car or a motorcicle."
What time does she wake up?,Everyday she wakes up at 7: 30
What does she do after waking up?,she brushes her teeth and her face
How is she dressed?,she dressed up with the collage uniform
What time does she enter her class?,8:30 she enters to class.
What time does she finish her classes?,"On mondays and tuesdays she finishes the classes at 5,but the others day she finishes the classes at 4:30."
What does she do every day before school?,Everyday before the school she goes to a english class with a personal teacher
When does she return to her house?,before the english classes she return to her hous at 9
What does she do when she gets home?,she has dinner with her family
What does she do at night?,at 11 she brushes her teeth and goes to sleep.
What is her name?,her name is andrea
How old is she?,she is 14 years old
What does she like and dislike?,she likes read but she does no likes to sing
What does Andrea like to eat and what does she not?,"Andrea likes pizza and not the apple"
What does Andrea like to do?,Andrea likes to read but not sing
What does Andrea like to do?,Andrea likes to study but not go fishing
Who is this?,this is Andrea.
What is her age group?,she is a teenager.
How old is she?,she is 14 years old.
What is her hair color?,she is blonde.
What is her body type?,she is slim.
What is she doing?,in the moment she is riding a bike.
What is she carrying?,she has a pet.
What pet does she have?,it is a dog.
What does she like?,she likes pizza and books.
What does she not like?,she does not like apples.
What can and can't she do?,she can't sing but she can draw.
What does her hair look like?,she has blonde hair
What does she like to do?,he likes to read
What food does she like?,he likes pizza
What activity doesn't she like to do?,he does not like to sing
What food does she not like?,he not like the apple.
What are some things she likes to do?,"can eat,study,read"
How old is Andrea?,Andrea is 14 years old
What does she look like?,she is tall and tin
What is she wearing?,"shes wering pink bluse, white short and a white shoes"
What does she like?,she like read book eating pizza and mate
What doesn't she like?,she dosen't like sing apple and fishing
What is her name and how old is she?,"She is Andrea, she is 14 years old."
What is she doing in the photo?,"In the photo she is riding a bike with her dog"
What does she like?,"she like eating pizza, and reading books"
What does she have?,she has a ruler and a pen.
What doesn't she like?,"She hates singing, fishing and eating apple."
What is her name?,her name is Andrea
How old is she?,she is 14 years old
What does she not like to do?,she does not like to sing or fish.
What does she like?,"he likes to eat pilla, read and has a dog as a pet"
Who is she?,she is andrea
How old is she?,has 14 years old.
What does she like?,"shi liks reads,eats pizza ande he likes math."
What does she have?,has bicicleta and also and puppy.
What does she not like?,"he a does not likes eat apple ,nor fish and sing"
What is her name?,her name is andrea
What is her gender?,she is a girl
How old is she?,he is 14 years ald
What kind of hair does she have?,he has long and blong hair has got
What is she doing?,in this moment she is rading a blicicle can can t
What doesn't she like to do?,he docen t likes to fish
What does she like to do?,she can read and drew
What is she wearing?,she mas a tismirt and smort
Does she have any pets?,she has got a dog
What is her name?,Her name is Andrea
What is her hender?,She is a woman
How old is she?,She is 14 years old
What does she like to do?,She likes to read books
What does she like to eat?,She likes to eat pizza
What is her favorite subject?,Her favorite subject is Geometry
What does she not like to do?,She dosen not like to sing
What does she not like to eat?,She dosen not like to apples
What does she look like?,She is tall and slime
What pet does she have?,She has a dog
What does she have?,She has a bike
What is she wearing?,She is wearing a t shirt pink
What is she wearing on her legs?,She is wearing a short white
What does she like to do?,she can read
What does she like to eat?,she like pizza
What does she like to do?,she like study
What are some things she can and can't do?,she cant to sing can fishing
What doesn't she like?,sha doesn't like apple
How old is Andrea and what does she look like?,Andrea is 14 years old is thin
What is she doing?,at the moment she is walking on the bicycle
Who is with her on the bicycle?,she goes with te dog in the basket
What does she like to do?,"she like to reads, to eat pizza"
What can she do?,she can make the geomitric pigures
Who is she?,She is Andrea.
How old is she?,She have a 14 years old.
What does she like to do?,She eat pizza and read books.
What doesn't she like to do?,She not can't eat apple and not sing.
How old is Andrea?,Andrea is 14 years old
What is her physical apparence?,her physical apparence is that of an athlete
What kind of clothes does she wear?,her clothes are sports
What does she like and dislike doing?,she likes to study and does not like to sing
What does she have?,She has a bicycle and a puppy
What is she doing?,her routine is a sport
Who is Andrea?,Andrea is a girl.
How old is she?,She is 14 years old.
What kind of hair does she have?,She has long hair .
What is she wearing?,She is wearing a pink t-shirt and white shorts.
What is she doing?,She is riding a bike.
What does she like?,"She likes animals, reading books, Maths, and eating pizzas."
What doesn't she like to do?,She can' t singing
What doesn't she like?,she doesn' t like apples and fishing.
